Strongly Agree,5,,240e1ce1,0,,triangle,0
Agree,4,,d49c6fe6,1,,recursive,1
Neutral,3,,5c82590a,2,,conditionals,2
Disagree,2,,e40bd564,3,,,
Strongly Disagree,1,,5dbb1859,4,,,
,,,4ae49d30,5,,,
,,,dce46ec2,6,,,
,,,29e32edb,7,,,
,,,c53450b4,8,,,
,,,c575c784,9,,,
,,,6fad3995,10,,,
,,,22997df9,11,,,
,,,68f7d8d8,12,,,
,,,778daf92,13,,,
,,,41ba062d,14,,,
,,,2119d084,15,,,
,,,c5751c84,16,,,
,,,434ea80e,17,,,
,,,2a020dc1,18,,,
,,,3c2e77ba,19,,,
,,,5c82d8eb,20,,,
,,,080f9c91,21,,,
,,,0526363b,22,,,
,,,c6591738,23,,,
,,,62a23c68,24,,,
,,,bebdbac6,25,,,
,,,9862bf78,26,,,
,,,f1da37a2,27,,,
,,,c972fe26,28,,,
,,,73c3a172,29,,,
,,,7040a539,30,,,
